Log initialized at 2025-04-26 07:05:39.240161
------------------------------
[2025-04-26 07:05:58.067] get_mmap_tensor: Reading tensor 'blk.0.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 811889472, bytes 330301440
[2025-04-26 07:06:06.271] get_mmap_tensor: Reading tensor 'blk.3.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 4238865216, bytes 330301440
[2025-04-26 07:06:09.051] get_mmap_tensor: Reading tensor 'blk.4.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 5701428032, bytes 330301440
[2025-04-26 07:06:09.051] get_mmap_tensor: Reading tensor 'blk.4.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 6031729472, bytes 330301440
[2025-04-26 07:06:09.051] get_mmap_tensor: Reading tensor 'blk.4.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 5371126592, bytes 330301440
[2025-04-26 07:06:11.811] get_mmap_tensor: Reading tensor 'blk.5.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 6985550656, bytes 330301440
[2025-04-26 07:06:11.811] get_mmap_tensor: Reading tensor 'blk.5.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 7315852096, bytes 330301440
[2025-04-26 07:06:11.811] get_mmap_tensor: Reading tensor 'blk.5.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 6503861056, bytes 481689600
[2025-04-26 07:06:14.540] get_mmap_tensor: Reading tensor 'blk.6.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 8136735552, bytes 330301440
[2025-04-26 07:06:14.540] get_mmap_tensor: Reading tensor 'blk.6.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 8467036992, bytes 330301440
[2025-04-26 07:06:14.540] get_mmap_tensor: Reading tensor 'blk.6.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 7806434112, bytes 330301440
[2025-04-26 07:06:17.278] get_mmap_tensor: Reading tensor 'blk.7.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 9268996928, bytes 330301440
[2025-04-26 07:06:17.279] get_mmap_tensor: Reading tensor 'blk.7.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 9599298368, bytes 330301440
[2025-04-26 07:06:17.279] get_mmap_tensor: Reading tensor 'blk.7.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 8938695488, bytes 330301440
[2025-04-26 07:06:19.983] get_mmap_tensor: Reading tensor 'blk.8.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 10553119552, bytes 330301440
[2025-04-26 07:06:19.983] get_mmap_tensor: Reading tensor 'blk.8.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 10883420992, bytes 330301440
[2025-04-26 07:06:19.983] get_mmap_tensor: Reading tensor 'blk.8.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 10071429952, bytes 481689600
[2025-04-26 07:06:22.726] get_mmap_tensor: Reading tensor 'blk.9.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 11721755456, bytes 330301440
[2025-04-26 07:06:22.726] get_mmap_tensor: Reading tensor 'blk.9.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 12052056896, bytes 330301440
[2025-04-26 07:06:22.726] get_mmap_tensor: Reading tensor 'blk.9.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 11391454016, bytes 330301440
[2025-04-26 07:06:25.451] get_mmap_tensor: Reading tensor 'blk.10.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 12836565824, bytes 330301440
[2025-04-26 07:06:25.451] get_mmap_tensor: Reading tensor 'blk.10.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 13166867264, bytes 330301440
[2025-04-26 07:06:25.451] get_mmap_tensor: Reading tensor 'blk.10.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 12506264384, bytes 330301440
[2025-04-26 07:06:28.138] get_mmap_tensor: Reading tensor 'blk.11.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 14120688448, bytes 330301440
[2025-04-26 07:06:28.138] get_mmap_tensor: Reading tensor 'blk.11.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 14450989888, bytes 330301440
[2025-04-26 07:06:28.138] get_mmap_tensor: Reading tensor 'blk.11.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 13638998848, bytes 481689600
[2025-04-26 07:06:30.882] get_mmap_tensor: Reading tensor 'blk.12.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 15271873344, bytes 330301440
[2025-04-26 07:06:30.882] get_mmap_tensor: Reading tensor 'blk.12.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 15602174784, bytes 330301440
[2025-04-26 07:06:30.882] get_mmap_tensor: Reading tensor 'blk.12.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 14941571904, bytes 330301440
[2025-04-26 07:06:33.606] get_mmap_tensor: Reading tensor 'blk.13.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 16404134720, bytes 330301440
[2025-04-26 07:06:33.606] get_mmap_tensor: Reading tensor 'blk.13.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 16734436160, bytes 330301440
[2025-04-26 07:06:33.606] get_mmap_tensor: Reading tensor 'blk.13.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 16073833280, bytes 330301440
[2025-04-26 07:06:36.359] get_mmap_tensor: Reading tensor 'blk.14.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 17688257344, bytes 330301440
[2025-04-26 07:06:36.359] get_mmap_tensor: Reading tensor 'blk.14.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 18018558784, bytes 330301440
[2025-04-26 07:06:36.359] get_mmap_tensor: Reading tensor 'blk.14.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 17206567744, bytes 481689600
[2025-04-26 07:06:39.072] get_mmap_tensor: Reading tensor 'blk.15.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 18839442240, bytes 330301440
[2025-04-26 07:06:39.073] get_mmap_tensor: Reading tensor 'blk.15.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 19169743680, bytes 330301440
[2025-04-26 07:06:39.073] get_mmap_tensor: Reading tensor 'blk.15.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 18509140800, bytes 330301440
[2025-04-26 07:06:41.764] get_mmap_tensor: Reading tensor 'blk.16.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 19971703616, bytes 330301440
[2025-04-26 07:06:41.764] get_mmap_tensor: Reading tensor 'blk.16.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 20302005056, bytes 330301440
[2025-04-26 07:06:41.764] get_mmap_tensor: Reading tensor 'blk.16.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 19641402176, bytes 330301440
[2025-04-26 07:06:44.468] get_mmap_tensor: Reading tensor 'blk.17.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 21255826240, bytes 330301440
[2025-04-26 07:06:44.468] get_mmap_tensor: Reading tensor 'blk.17.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 21586127680, bytes 330301440
[2025-04-26 07:06:44.468] get_mmap_tensor: Reading tensor 'blk.17.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 20774136640, bytes 481689600
[2025-04-26 07:06:47.206] get_mmap_tensor: Reading tensor 'blk.18.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 22407011136, bytes 330301440
[2025-04-26 07:06:47.206] get_mmap_tensor: Reading tensor 'blk.18.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 22737312576, bytes 330301440
[2025-04-26 07:06:47.206] get_mmap_tensor: Reading tensor 'blk.18.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 22076709696, bytes 330301440
[2025-04-26 07:06:49.961] get_mmap_tensor: Reading tensor 'blk.19.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 23539272512, bytes 330301440
[2025-04-26 07:06:49.961] get_mmap_tensor: Reading tensor 'blk.19.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 23869573952, bytes 330301440
[2025-04-26 07:06:49.961] get_mmap_tensor: Reading tensor 'blk.19.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 23208971072, bytes 330301440
[2025-04-26 07:06:52.715] get_mmap_tensor: Reading tensor 'blk.20.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 24823395136, bytes 330301440
[2025-04-26 07:06:52.715] get_mmap_tensor: Reading tensor 'blk.20.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 25153696576, bytes 330301440
[2025-04-26 07:06:52.715] get_mmap_tensor: Reading tensor 'blk.20.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 24341705536, bytes 481689600
[2025-04-26 07:06:55.466] get_mmap_tensor: Reading tensor 'blk.21.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 25974580032, bytes 330301440
[2025-04-26 07:06:55.466] get_mmap_tensor: Reading tensor 'blk.21.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 26304881472, bytes 330301440
[2025-04-26 07:06:55.466] get_mmap_tensor: Reading tensor 'blk.21.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 25644278592, bytes 330301440
[2025-04-26 07:06:58.216] get_mmap_tensor: Reading tensor 'blk.22.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 27106841408, bytes 330301440
[2025-04-26 07:06:58.216] get_mmap_tensor: Reading tensor 'blk.22.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 27437142848, bytes 330301440
[2025-04-26 07:06:58.216] get_mmap_tensor: Reading tensor 'blk.22.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 26776539968, bytes 330301440
[2025-04-26 07:07:01.036] get_mmap_tensor: Reading tensor 'blk.23.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 28390964032, bytes 330301440
[2025-04-26 07:07:01.036] get_mmap_tensor: Reading tensor 'blk.23.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 28721265472, bytes 330301440
[2025-04-26 07:07:01.037] get_mmap_tensor: Reading tensor 'blk.23.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 27909274432, bytes 481689600
[2025-04-26 07:07:03.773] get_mmap_tensor: Reading tensor 'blk.24.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 29694010176, bytes 330301440
[2025-04-26 07:07:03.773] get_mmap_tensor: Reading tensor 'blk.24.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 30024311616, bytes 330301440
[2025-04-26 07:07:03.773] get_mmap_tensor: Reading tensor 'blk.24.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 29212320576, bytes 481689600
[2025-04-26 07:07:06.501] get_mmap_tensor: Reading tensor 'blk.25.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 30997056320, bytes 330301440
[2025-04-26 07:07:06.501] get_mmap_tensor: Reading tensor 'blk.25.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 31327357760, bytes 330301440
[2025-04-26 07:07:06.501] get_mmap_tensor: Reading tensor 'blk.25.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 30515366720, bytes 481689600
[2025-04-26 07:07:09.240] get_mmap_tensor: Reading tensor 'blk.26.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 32300102464, bytes 330301440
[2025-04-26 07:07:09.240] get_mmap_tensor: Reading tensor 'blk.26.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 32630403904, bytes 330301440
[2025-04-26 07:07:09.240] get_mmap_tensor: Reading tensor 'blk.26.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 31818412864, bytes 481689600
[2025-04-26 07:07:11.984] get_mmap_tensor: Reading tensor 'blk.27.ffn_gate_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 34049840448, bytes 330301440
[2025-04-26 07:07:11.985] get_mmap_tensor: Reading tensor 'blk.27.ffn_up_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 34380141888, bytes 330301440
[2025-04-26 07:07:11.985] get_mmap_tensor: Reading tensor 'blk.27.ffn_down_exps.weight' from file '/home/chiarolrg/work/ktransformers/down_gguf/qwen2-57b-a14b-instruct/qwen2-57b-a14b-instruct-q4_k_m.gguf', offset 33568150848, bytes 481689600
